Script 	Script Tag
Adlam 	'adlm'
Ahom 	'ahom'
Anatolian Hieroglyphs 	'hluw'
Arabic 	'arab'
Armenian 	'armn'
Avestan 	'avst'
Balinese 	'bali'
Bamum 	'bamu'
Bassa Vah 	'bass'
Batak 	'batk'
Bengali 	'beng'
Bengali v.2 	'bng2'
Bhaiksuki 	'bhks'
Bopomofo 	'bopo'
Brahmi 	'brah'
Braille 	'brai'
Buginese 	'bugi'
Buhid 	'buhd'
Byzantine Music 	'byzm'
Canadian Syllabics 	'cans'
Carian 	'cari'
Caucasian Albanian 	'aghb'
Chakma 	'cakm'
Cham 	'cham'
Cherokee 	'cher'
CJK Ideographic 	'hani'
Coptic 	'copt'
Cypriot Syllabary 	'cprt'
Cyrillic 	'cyrl'
Default 	DFLT
Deseret 	'dsrt'
Devanagari 	'deva'
Devanagari v.2 	'dev2'
Dogra 	'dogr'
Duployan 	'dupl'
Egyptian Hieroglyphs 	'egyp'
Elbasan 	'elba'
Ethiopic 	'ethi'
Georgian 	'geor'
Glagolitic 	'glag'
Gothic 	'goth'
Grantha 	'gran'
Greek 	'grek'
Gujarati 	'gujr'
Gujarati v.2 	'gjr2'
Gunjala Gondi 	'gong'
Gurmukhi 	'guru'
Gurmukhi v.2 	'gur2'
Hangul 	'hang'
Hangul Jamo 	'jamo'
Hanifi Rohingya 	'rohg'
Hanunoo 	'hano'
Hatran 	'hatr'
Hebrew 	'hebr'
Hiragana 	'kana'
Imperial Aramaic 	'armi'
Inscriptional Pahlavi 	'phli'
Inscriptional Parthian 	'prti'
Javanese 	'java'
Kaithi 	'kthi'
Kannada 	'knda'
Kannada v.2 	'knd2'
Katakana 	'kana'
Kayah Li 	'kali'
Kharosthi 	'khar'
Khmer 	'khmr'
Khojki 	'khoj'
Khudawadi 	'sind'
Lao 	'lao '
Latin 	'latn'
Lepcha 	'lepc'
Limbu 	'limb'
Linear A 	'lina'
Linear B 	'linb'
Lisu (Fraser) 	'lisu'
Lycian 	'lyci'
Lydian 	'lydi'
Mahajani 	'mahj'
Makasar 	'maka'
Malayalam 	'mlym'
Malayalam v.2 	'mlm2'
Mandaic, Mandaean 	'mand'
Manichaean 	'mani'
Marchen 	'marc'
Masaram Gondi 	'gonm'
Mathematical Alphanumeric Symbols 	'math'
Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ) 	'medf'
Meitei Mayek (Meithei, Meetei) 	'mtei'
Mende Kikakui 	'mend'
Meroitic Cursive 	'merc'
Meroitic Hieroglyphs 	'mero'
Miao 	'plrd'
Modi 	'modi'
Mongolian 	'mong'
Mro 	'mroo'
Multani 	'mult'
Musical Symbols 	'musc'
Myanmar 	'mymr'
Myanmar v.2 	'mym2'
Nabataean 	'nbat'
Newa 	'newa'
New Tai Lue 	'talu'
N'Ko 	'nko '
Nüshu 	'nshu'
Odia (formerly Oriya) 	'orya'
Odia v.2 (formerly Oriya v.2) 	'ory2'
Ogham 	'ogam'
Ol Chiki 	'olck'
Old Italic 	'ital'
Old Hungarian 	'hung'
Old North Arabian 	'narb'
Old Permic 	'perm'
Old Persian Cuneiform 	'xpeo'
Old Sogdian 	'sogo'
Old South Arabian 	'sarb'
Old Turkic, Orkhon Runic 	'orkh'
Osage 	'osge'
Osmanya 	'osma'
Pahawh Hmong 	'hmng'
Palmyrene 	'palm'
Pau Cin Hau 	'pauc'
Phags-pa 	'phag'
Phoenician 	'phnx'
Psalter Pahlavi 	'phlp'
Rejang 	'rjng'
Runic 	'runr'
Samaritan 	'samr'
Saurashtra 	'saur'
Sharada 	'shrd'
Shavian 	'shaw'
Siddham 	'sidd'
Sign Writing 	'sgnw'
Sinhala 	'sinh'
Sogdian 	'sogd'
Sora Sompeng 	'sora'
Soyombo 	'soyo'
Sumero-Akkadian Cuneiform 	'xsux'
Sundanese 	'sund'
Syloti Nagri 	'sylo'
Syriac 	'syrc'
Tagalog 	'tglg'
Tagbanwa 	'tagb'
Tai Le 	'tale'
Tai Tham (Lanna) 	'lana'
Tai Viet 	'tavt'
Takri 	'takr'
Tamil 	'taml'
Tamil v.2 	'tml2'
Tangut 	'tang'
Telugu 	'telu'
Telugu v.2 	'tel2'
Thaana 	'thaa'
Thai 	'thai'
Tibetan 	'tibt'
Tifinagh 	'tfng'
Tirhuta 	'tirh'
Ugaritic Cuneiform 	'ugar'
Vai 	'vai '
Warang Citi 	'wara'
Yi 	'yi '
Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)	'zanb'
